month,year,temperature,dewpoint,windspeed,Soilwater_L1,Precipitation,field,temperature_b1,temperature_b2,temperature_b3,temperature_b4,temperature_b5,temperature_b6,temperature_b7,temperature_b8,temperature_b9,temperature_b10,temperature_b11,temperature_b12,dewpoint_b1,dewpoint_b2,dewpoint_b3,dewpoint_b4,dewpoint_b5,dewpoint_b6,dewpoint_b7,dewpoint_b8,dewpoint_b9,dewpoint_b10,dewpoint_b11,dewpoint_b12,windspeed_b1,windspeed_b2,windspeed_b3,windspeed_b4,windspeed_b5,windspeed_b6,windspeed_b7,windspeed_b8,windspeed_b9,windspeed_b10,windspeed_b11,windspeed_b12,Soilwater_L1_b1,Soilwater_L1_b2,Soilwater_L1_b3,Soilwater_L1_b4,Soilwater_L1_b5,Soilwater_L1_b6,Soilwater_L1_b7,Soilwater_L1_b8,Soilwater_L1_b9,Soilwater_L1_b10,Soilwater_L1_b11,Soilwater_L1_b12,Precipitation_b1,Precipitation_b2,Precipitation_b3,Precipitation_b4,Precipitation_b5,Precipitation_b6,Precipitation_b7,Precipitation_b8,Precipitation_b9,Precipitation_b10,Precipitation_b11,Precipitation_b12,Soilwater_L2,Soilwater_L3,Soilwater_L4,Id,age,type,production,date
10,2007,28.267,23.133,2.4597,0.26473,188.56,14,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,28.852,28.427,29.143,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,22.782,23.159,22.787,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,2.4335,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,0.2477,79.042,57.015,97.973,96.254,333.07,442.6,532.37,510.29,158.64,218.65,126.57,132.21,0.26094,0.26346,0.28505,3064.0,6.0,5.0,0.3967301473230327,2007-10-01
11,2007,29.365,22.592,2.5323,0.23333,83.394,14,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,28.852,28.427,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,22.782,23.159,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,188.56,79.042,57.015,97.973,96.254,333.07,442.6,532.37,510.29,158.64,218.65,126.57,0.23101,0.2469,0.2717,3065.0,6.0,5.0,0.2216313330937837,2007-11-01
12,2007,27.158,23.777,1.9742,0.29272,309.76,14,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,28.852,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,22.782,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,83.394,188.56,79.042,57.015,97.973,96.254,333.07,442.6,532.37,510.29,158.64,218.65,0.28483,0.26404,0.26358,3066.0,6.0,5.0,0.0761767876392382,2007-12-01
1,2008,26.094,24.035,2.026,0.33843,414.77,14,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,309.76,83.394,188.56,79.042,57.015,97.973,96.254,333.07,442.6,532.37,510.29,158.64,0.33527,0.32352,0.28765,3067.0,7.0,5.0,0.0789435860582105,2008-01-01
2,2008,25.983,24.393,2.0207,0.35868,394.85,14,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,414.77,309.76,83.394,188.56,79.042,57.015,97.973,96.254,333.07,442.6,532.37,510.29,0.35838,0.35727,0.35095,3068.0,7.0,5.0,0.0265181458857348,2008-02-01
3,2008,25.654,24.153,1.6453,0.36349,512.9,14,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,394.85,414.77,309.76,83.394,188.56,79.042,57.015,97.973,96.254,333.07,442.6,532.37,0.36359,0.36392,0.364,3069.0,7.0,5.0,0.034099892202659,2008-03-01
4,2008,25.948,24.565,1.6736,0.36447,465.75,14,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,512.9,394.85,414.77,309.76,83.394,188.56,79.042,57.015,97.973,96.254,333.07,442.6,0.36457,0.36439,0.36731,3070.0,7.0,5.0,0.0566654689184333,2008-04-01
5,2008,26.187,24.637,1.7208,0.36043,302.0,14,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,465.75,512.9,394.85,414.77,309.76,83.394,188.56,79.042,57.015,97.973,96.254,333.07,0.36029,0.36049,0.36802,3071.0,7.0,5.0,0.0277757815307222,2008-05-01
6,2008,26.362,24.078,1.6947,0.3494,181.6,14,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,302.0,465.75,512.9,394.85,414.77,309.76,83.394,188.56,79.042,57.015,97.973,96.254,0.34981,0.35212,0.3581,3072.0,7.0,5.0,0.0346388789076536,2008-06-01
7,2008,26.96,23.436,1.8285,0.31622,69.119,14,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,181.6,302.0,465.75,512.9,394.85,414.77,309.76,83.394,188.56,79.042,57.015,97.973,0.3155,0.31649,0.33145,3073.0,7.0,5.0,0.1180380883938196,2008-07-01
9,2008,28.16,23.652,2.2509,0.29726,118.34,14,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,87.101,69.119,181.6,302.0,465.75,512.9,394.85,414.77,309.76,83.394,188.56,79.042,0.29568,0.29746,0.30689,3074.0,7.0,5.0,0.2930291052820696,2008-09-01
10,2008,28.803,22.762,2.4395,0.26737,176.41,14,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,118.34,87.101,69.119,181.6,302.0,465.75,512.9,394.85,414.77,309.76,83.394,188.56,0.26711,0.27428,0.29188,3075.0,7.0,5.0,0.3546173194394538,2008-10-01
11,2008,29.429,22.365,2.4118,0.2335,82.761,14,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,176.41,118.34,87.101,69.119,181.6,302.0,465.75,512.9,394.85,414.77,309.76,83.394,0.23134,0.24514,0.27514,3076.0,7.0,5.0,0.233093783686669,2008-11-01
12,2008,27.397,23.957,1.9059,0.31581,195.29,14,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,82.761,176.41,118.34,87.101,69.119,181.6,302.0,465.75,512.9,394.85,414.77,309.76,0.31124,0.30249,0.28295,3077.0,7.0,5.0,0.1594322673374056,2008-12-01
1,2009,26.739,24.073,2.0401,0.3312,292.23,14,27.397,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,23.957,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,195.29,82.761,176.41,118.34,87.101,69.119,181.6,302.0,465.75,512.9,394.85,414.77,0.32955,0.32504,0.31106,3078.0,8.0,5.0,0.0724398131512756,2009-01-01
2,2009,26.046,24.323,1.9628,0.35603,424.26,14,26.739,27.397,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,24.073,23.957,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,292.23,195.29,82.761,176.41,118.34,87.101,69.119,181.6,302.0,465.75,512.9,394.85,0.35539,0.35296,0.3443,3079.0,8.0,5.0,0.0340280273086597,2009-02-01
3,2009,26.098,24.605,1.8023,0.36148,566.88,14,26.046,26.739,27.397,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,24.323,24.073,23.957,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,1.9628,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,0.35603,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,424.26,292.23,195.29,82.761,176.41,118.34,87.101,69.119,181.6,302.0,465.75,512.9,0.36147,0.36171,0.36437,3080.0,8.0,5.0,0.0441250449155587,2009-03-01
4,2009,26.163,24.312,1.6698,0.35356,452.87,14,26.098,26.046,26.739,27.397,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,24.605,24.323,24.073,23.957,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,1.8023,1.9628,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,0.36148,0.35603,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,566.88,424.26,292.23,195.29,82.761,176.41,118.34,87.101,69.119,181.6,302.0,465.75,0.35319,0.35328,0.35701,3081.0,8.0,5.0,0.0406395975565936,2009-04-01
5,2009,25.988,24.468,1.5193,0.36463,533.67,14,26.163,26.098,26.046,26.739,27.397,29.429,28.803,28.16,27.453,26.96,26.362,26.187,24.312,24.605,24.323,24.073,23.957,22.365,22.762,23.652,23.642,23.436,24.078,24.637,1.6698,1.8023,1.9628,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,0.35356,0.36148,0.35603,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,452.87,566.88,424.26,292.23,195.29,82.761,176.41,118.34,87.101,69.119,181.6,302.0,0.36457,0.36485,0.36558,3082.0,8.0,5.0,0.021092346388789,2009-05-01
6,2009,26.227,24.388,1.8308,0.35512,320.18,14,25.988,26.163,26.098,26.046,26.739,27.397,29.429,28.803,28.16,27.453,26.96,26.362,24.468,24.312,24.605,24.323,24.073,23.957,22.365,22.762,23.652,23.642,23.436,24.078,1.5193,1.6698,1.8023,1.9628,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,0.36463,0.35356,0.36148,0.35603,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,533.67,452.87,566.88,424.26,292.23,195.29,82.761,176.41,118.34,87.101,69.119,181.6,0.35533,0.35533,0.36351,3083.0,8.0,5.0,0.033093783686669,2009-06-01
7,2009,26.856,23.833,2.0467,0.32642,86.371,14,26.227,25.988,26.163,26.098,26.046,26.739,27.397,29.429,28.803,28.16,27.453,26.96,24.388,24.468,24.312,24.605,24.323,24.073,23.957,22.365,22.762,23.652,23.642,23.436,1.8308,1.5193,1.6698,1.8023,1.9628,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,0.35512,0.36463,0.35356,0.36148,0.35603,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,320.18,533.67,452.87,566.88,424.26,292.23,195.29,82.761,176.41,118.34,87.101,69.119,0.32684,0.32925,0.34177,3084.0,8.0,5.0,0.0572403880704276,2009-07-01
8,2009,28.183,22.872,2.1847,0.27818,66.301,14,26.856,26.227,25.988,26.163,26.098,26.046,26.739,27.397,29.429,28.803,28.16,27.453,23.833,24.388,24.468,24.312,24.605,24.323,24.073,23.957,22.365,22.762,23.652,23.642,2.0467,1.8308,1.5193,1.6698,1.8023,1.9628,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,0.32642,0.35512,0.36463,0.35356,0.36148,0.35603,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,86.371,320.18,533.67,452.87,566.88,424.26,292.23,195.29,82.761,176.41,118.34,87.101,0.27934,0.29024,0.31346,3085.0,8.0,5.0,0.096694214876033,2009-08-01
9,2009,29.308,21.729,2.5489,0.2326,65.452,14,28.183,26.856,26.227,25.988,26.163,26.098,26.046,26.739,27.397,29.429,28.803,28.16,22.872,23.833,24.388,24.468,24.312,24.605,24.323,24.073,23.957,22.365,22.762,23.652,2.1847,2.0467,1.8308,1.5193,1.6698,1.8023,1.9628,2.0401,1.9059,2.4118,2.4395,2.2509,0.27818,0.32642,0.35512,0.36463,0.35356,0.36148,0.35603,0.3312,0.31581,0.2335,0.26737,0.29726,66.301,86.371,320.18,533.67,452.87,566.88,424.26,292.23,195.29,82.761,176.41,118.34,0.23947,0.26457,0.28946,3086.0,8.0,5.0,0.138699245418613,2009-09-01
10,2009,30.126,21.069,2.5929,0.21379,75.568,14,29.308,28.183,26.856,26.227,25.988,26.163,26.098,26.046,26.739,27.397,29.429,28.803,21.729,22.872,23.833,24.388,24.468,24.312,24.605,24.323,24.073,23.957,22.365,22.762,2.5489,2.1847,2.0467,1.8308,1.5193,1.6698,1.8023,1.9628,2.0401,1.9059,2.4118,2.4395,0.2326,0.27818,0.32642,0.35512,0.36463,0.35356,0.36148,0.35603,0.3312,0.31581,0.2335,0.26737,65.452,66.301,86.371,320.18,533.67,452.87,566.88,424.26,292.23,195.29,82.761,176.41,0.21973,0.24629,0.27083,3087.0,8.0,5.0,0.2743801652892562,2009-10-01
11,2009,30.316,21.126,2.7968,0.20721,46.384,14,30.126,29.308,28.183,26.856,26.227,25.988,26.163,26.098,26.046,26.739,27.397,29.429,21.069,21.729,22.872,23.833,24.388,24.468,24.312,24.605,24.323,24.073,23.957,22.365,2.5929,2.5489,2.1847,2.0467,1.8308,1.5193,1.6698,1.8023,1.9628,2.0401,1.9059,2.4118,0.21379,0.2326,0.27818,0.32642,0.35512,0.36463,0.35356,0.36148,0.35603,0.3312,0.31581,0.2335,75.568,65.452,66.301,86.371,320.18,533.67,452.87,566.88,424.26,292.23,195.29,82.761,0.21474,0.24095,0.25753,3088.0,8.0,5.0,0.2330578512396694,2009-11-01
12,2009,28.493,23.076,2.4824,0.25777,281.17,14,30.316,30.126,29.308,28.183,26.856,26.227,25.988,26.163,26.098,26.046,26.739,27.397,21.126,21.069,21.729,22.872,23.833,24.388,24.468,24.312,24.605,24.323,24.073,23.957,2.7968,2.5929,2.5489,2.1847,2.0467,1.8308,1.5193,1.6698,1.8023,1.9628,2.0401,1.9059,0.20721,0.21379,0.2326,0.27818,0.32642,0.35512,0.36463,0.35356,0.36148,0.35603,0.3312,0.31581,46.384,75.568,65.452,66.301,86.371,320.18,533.67,452.87,566.88,424.26,292.23,195.29,0.24853,0.23365,0.24841,3089.0,8.0,5.0,0.0819259791591807,2009-12-01
1,2010,27.017,23.977,2.1748,0.31224,300.54,14,28.493,30.316,30.126,29.308,28.183,26.856,26.227,25.988,26.163,26.098,26.046,26.739,23.076,21.126,21.069,21.729,22.872,23.833,24.388,24.468,24.312,24.605,24.323,24.073,2.4824,2.7968,2.5929,2.5489,2.1847,2.0467,1.8308,1.5193,1.6698,1.8023,1.9628,2.0401,0.25777,0.20721,0.21379,0.2326,0.27818,0.32642,0.35512,0.36463,0.35356,0.36148,0.35603,0.3312,281.17,46.384,75.568,65.452,66.301,86.371,320.18,533.67,452.87,566.88,424.26,292.23,0.30708,0.28991,0.25411,3090.0,9.0,5.0,0.08799856270212,2010-01-01
2,2010,27.484,24.692,2.5474,0.3424,334.87,14,27.017,28.493,30.316,30.126,29.308,28.183,26.856,26.227,25.988,26.163,26.098,26.046,23.977,23.076,21.126,21.069,21.729,22.872,23.833,24.388,24.468,24.312,24.605,24.323,2.1748,2.4824,2.7968,2.5929,2.5489,2.1847,2.0467,1.8308,1.5193,1.6698,1.8023,1.9628,0.31224,0.25777,0.20721,0.21379,0.2326,0.27818,0.32642,0.35512,0.36463,0.35356,0.36148,0.35603,300.54,281.17,46.384,75.568,65.452,66.301,86.371,320.18,533.67,452.87,566.88,424.26,0.34057,0.3348,0.30502,3091.0,9.0,5.0,0.0392741645706072,2010-02-01
3,2010,27.87,24.749,2.1424,0.33339,269.91,14,27.484,27.017,28.493,30.316,30.126,29.308,28.183,26.856,26.227,25.988,26.163,26.098,24.692,23.977,23.076,21.126,21.069,21.729,22.872,23.833,24.388,24.468,24.312,24.605,2.5474,2.1748,2.4824,2.7968,2.5929,2.5489,2.1847,2.0467,1.8308,1.5193,1.6698,1.8023,0.3424,0.31224,0.25777,0.20721,0.21379,0.2326,0.27818,0.32642,0.35512,0.36463,0.35356,0.36148,334.87,300.54,281.17,46.384,75.568,65.452,66.301,86.371,320.18,533.67,452.87,566.88,0.33238,0.33091,0.32778,3092.0,9.0,5.0,0.2118217750628818,2010-03-01
4,2010,26.886,25.393,1.8086,0.36484,447.93,14,27.87,27.484,27.017,28.493,30.316,30.126,29.308,28.183,26.856,26.227,25.988,26.163,24.749,24.692,23.977,23.076,21.126,21.069,21.729,22.872,23.833,24.388,24.468,24.312,2.1424,2.5474,2.1748,2.4824,2.7968,2.5929,2.5489,2.1847,2.0467,1.8308,1.5193,1.6698,0.33339,0.3424,0.31224,0.25777,0.20721,0.21379,0.2326,0.27818,0.32642,0.35512,0.36463,0.35356,269.91,334.87,300.54,281.17,46.384,75.568,65.452,66.301,86.371,320.18,533.67,452.87,0.36473,0.36498,0.36409,3093.0,9.0,5.0,0.1839381961911606,2010-04-01
5,2010,27.469,25.452,1.7407,0.35453,286.03,14,26.886,27.87,27.484,27.017,28.493,30.316,30.126,29.308,28.183,26.856,26.227,25.988,25.393,24.749,24.692,23.977,23.076,21.126,21.069,21.729,22.872,23.833,24.388,24.468,1.8086,2.1424,2.5474,2.1748,2.4824,2.7968,2.5929,2.5489,2.1847,2.0467,1.8308,1.5193,0.36484,0.33339,0.3424,0.31224,0.25777,0.20721,0.21379,0.2326,0.27818,0.32642,0.35512,0.36463,447.93,269.91,334.87,300.54,281.17,46.384,75.568,65.452,66.301,86.371,320.18,533.67,0.35422,0.35377,0.35774,3094.0,9.0,5.0,0.1951131872080489,2010-05-01
6,2010,27.253,24.352,1.7718,0.33685,93.267,14,27.469,26.886,27.87,27.484,27.017,28.493,30.316,30.126,29.308,28.183,26.856,26.227,25.452,25.393,24.749,24.692,23.977,23.076,21.126,21.069,21.729,22.872,23.833,24.388,1.7407,1.8086,2.1424,2.5474,2.1748,2.4824,2.7968,2.5929,2.5489,2.1847,2.0467,1.8308,0.35453,0.36484,0.33339,0.3424,0.31224,0.25777,0.20721,0.21379,0.2326,0.27818,0.32642,0.35512,286.03,447.93,269.91,334.87,300.54,281.17,46.384,75.568,65.452,66.301,86.371,320.18,0.33685,0.33836,0.35793,3095.0,9.0,5.0,0.2887531440891125,2010-06-01
7,2010,27.302,24.372,1.8109,0.3407,159.21,14,27.253,27.469,26.886,27.87,27.484,27.017,28.493,30.316,30.126,29.308,28.183,26.856,24.352,25.452,25.393,24.749,24.692,23.977,23.076,21.126,21.069,21.729,22.872,23.833,1.7718,1.7407,1.8086,2.1424,2.5474,2.1748,2.4824,2.7968,2.5929,2.5489,2.1847,2.0467,0.33685,0.35453,0.36484,0.33339,0.3424,0.31224,0.25777,0.20721,0.21379,0.2326,0.27818,0.32642,93.267,286.03,447.93,269.91,334.87,300.54,281.17,46.384,75.568,65.452,66.301,86.371,0.34063,0.34203,0.34591,3096.0,9.0,5.0,0.1986704994610133,2010-07-01
8,2010,28.005,23.394,1.9233,0.29158,121.33,14,27.302,27.253,27.469,26.886,27.87,27.484,27.017,28.493,30.316,30.126,29.308,28.183,24.372,24.352,25.452,25.393,24.749,24.692,23.977,23.076,21.126,21.069,21.729,22.872,1.8109,1.7718,1.7407,1.8086,2.1424,2.5474,2.1748,2.4824,2.7968,2.5929,2.5489,2.1847,0.3407,0.33685,0.35453,0.36484,0.33339,0.3424,0.31224,0.25777,0.20721,0.21379,0.2326,0.27818,159.21,93.267,286.03,447.93,269.91,334.87,300.54,281.17,46.384,75.568,65.452,66.301,0.2921,0.30097,0.32519,3097.0,9.0,5.0,0.3223140495867769,2010-08-01
9,2010,28.698,22.975,2.1995,0.25806,85.571,14,28.005,27.302,27.253,27.469,26.886,27.87,27.484,27.017,28.493,30.316,30.126,29.308,23.394,24.372,24.352,25.452,25.393,24.749,24.692,23.977,23.076,21.126,21.069,21.729,1.9233,1.8109,1.7718,1.7407,1.8086,2.1424,2.5474,2.1748,2.4824,2.7968,2.5929,2.5489,0.29158,0.3407,0.33685,0.35453,0.36484,0.33339,0.3424,0.31224,0.25777,0.20721,0.21379,0.2326,121.33,159.21,93.267,286.03,447.93,269.91,334.87,300.54,281.17,46.384,75.568,65.452,0.259,0.27039,0.29756,3098.0,9.0,5.0,0.4643909450233561,2010-09-01
10,2010,29.505,22.377,2.3683,0.22691,121.12,14,28.698,28.005,27.302,27.253,27.469,26.886,27.87,27.484,27.017,28.493,30.316,30.126,22.975,23.394,24.372,24.352,25.452,25.393,24.749,24.692,23.977,23.076,21.126,21.069,2.1995,1.9233,1.8109,1.7718,1.7407,1.8086,2.1424,2.5474,2.1748,2.4824,2.7968,2.5929,0.25806,0.29158,0.3407,0.33685,0.35453,0.36484,0.33339,0.3424,0.31224,0.25777,0.20721,0.21379,85.571,121.33,159.21,93.267,286.03,447.93,269.91,334.87,300.54,281.17,46.384,75.568,0.22705,0.24421,0.27608,3099.0,9.0,5.0,0.3375134746676249,2010-10-01
11,2010,28.674,23.104,2.2016,0.26646,104.81,14,29.505,28.698,28.005,27.302,27.253,27.469,26.886,27.87,27.484,27.017,28.493,30.316,22.377,22.975,23.394,24.372,24.352,25.452,25.393,24.749,24.692,23.977,23.076,21.126,2.3683,2.1995,1.9233,1.8109,1.7718,1.7407,1.8086,2.1424,2.5474,2.1748,2.4824,2.7968,0.22691,0.25806,0.29158,0.3407,0.33685,0.35453,0.36484,0.33339,0.3424,0.31224,0.25777,0.20721,121.12,85.571,121.33,159.21,93.267,286.03,447.93,269.91,334.87,300.54,281.17,46.384,0.26182,0.25206,0.26328,3100.0,9.0,5.0,0.1780452748832195,2010-11-01
12,2010,27.234,23.781,2.0187,0.3016,240.77,14,28.674,29.505,28.698,28.005,27.302,27.253,27.469,26.886,27.87,27.484,27.017,28.493,23.104,22.377,22.975,23.394,24.372,24.352,25.452,25.393,24.749,24.692,23.977,23.076,2.2016,2.3683,2.1995,1.9233,1.8109,1.7718,1.7407,1.8086,2.1424,2.5474,2.1748,2.4824,0.26646,0.22691,0.25806,0.29158,0.3407,0.33685,0.35453,0.36484,0.33339,0.3424,0.31224,0.25777,104.81,121.12,85.571,121.33,159.21,93.267,286.03,447.93,269.91,334.87,300.54,281.17,0.2969,0.2847,0.26574,3101.0,9.0,5.0,0.3682357168523177,2010-12-01
1,2011,25.775,23.954,1.9864,0.3433,439.39,14,27.234,28.674,29.505,28.698,28.005,27.302,27.253,27.469,26.886,27.87,27.484,27.017,23.781,23.104,22.377,22.975,23.394,24.372,24.352,25.452,25.393,24.749,24.692,23.977,2.0187,2.2016,2.3683,2.1995,1.9233,1.8109,1.7718,1.7407,1.8086,2.1424,2.5474,2.1748,0.3016,0.26646,0.22691,0.25806,0.29158,0.3407,0.33685,0.35453,0.36484,0.33339,0.3424,0.31224,240.77,104.81,121.12,85.571,121.33,159.21,93.267,286.03,447.93,269.91,334.87,300.54,0.34052,0.33051,0.29845,3102.0,11.0,5.0,0.1220625224577793,2011-01-01
